語,級別,舊,漢字,原文,備註,發音,中文意思,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
あ,3,あ,感動詞,1,喂,哎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
あ,2,亜,亞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
あ（っ）,2,あ（っ）,感動詞,1,喂,哎呀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ああ,4,ああ,感動詞,1,阿,哎呀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ああ,3,ああ,指示詞,0,那樣,那麼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
あい,2,愛,1,愛戀,熱愛,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
あいかわらず,2,相変わらず,0,仍舊,照舊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
あいさつ（する）,3,挨拶（する）,1,寒暄,問候あいじょう,2,愛情,0,愛情,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
あいず,2,合図,1,暗號,信號,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アイスクリーム,2,ice,cream,5,冰淇淋,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
あいする,2,愛する,3,愛慕,熱愛,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
あいそう,1,愛想,3,和藹可親,好感,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
あいだ,3,間,0,間,期間,間隔,關係  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
あいだがら,1,間柄,0,（人與人）關係,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
あいつぐ,1,*0,相次ぐ,1,相繼（發生）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
あいて,2,相手,3,對方,敵手,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アイデア//アイディア,2,idea,1,3,創意,主意,觀念あいにく,2,生憎,0,不湊巧,偏偏,,,,,,,,,,,,,,,,,,,,,,,,,,
あいま,1,合間,0,3,空隙時間,餘暇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
あいまい,2,曖昧,0,可疑,不正經,曖昧,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アイロン,2,iron,0,熨斗,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
あう,4,会う,1,遇,遇上,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
あう,3,合う,1,一致,合適,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
あう,2,遭う,1,遭遇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アウト,2,out,1,出局,外邊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
あえて,1,敢えて,1,膽敢,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
あお,4,*2,青,1,青色,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
あおい,4,青い,2,青的,藍色的,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
あおぐ,2,扇ぐ,2,扇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
あおぐ,1,仰ぐ,2,仰視,尊敬,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
あおじろい,2,青白い,4,青白色的,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
あか,4,*2,赤,1,紅色,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
あか,1,垢,2,污垢,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
あかい,4,赤い,0,紅色的,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
あかし,1,*0,証,0,證據,證明,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
あかじ,1,赤字,0,赤字,虧空,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
あかす,1,明かす,0,說出,道破,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
あかちゃん,3,赤ちゃん,1,嬰兒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
あからむ,1,赤らむ,3,變紅,紅起來,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
あかり,2,明かり,灯り,0,燈火,光亮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
あがり,1,上がり//,上がり,0,上,收入,完成//,出身,剛あがる,3,上がる,3,上漲,提高,昂揚,,,,,,,,,,,,,,,,,,,,,,,
あかるい,4,明るい,0,3,明亮,開通,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
あかんぼう,2,赤ん坊,0,嬰兒,幼稚的人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
あき,4,秋,1,秋天,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
あき,2,明き,空き,0,空的,空隙,空閒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
あきらか,2,明らか,2,顯亮,明白,明亮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
あきらめ,1,諦め,0,4,死心的,斷念的,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
あきらめる,2,諦める,4,死心,斷念,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
あきる,2,飽きる,2,厭煩,膩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
あきれる,2,呆れる,0,4,驚訝,吃驚,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
あく,4,開く,0,2,開,打開,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
あく,3,空く,0,2,空,空著,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
